country,season_start,team_a,team_b,is_rival
France,2017,lille,r. strasbourg,TRUE
France,2017,lille,sm caen,TRUE
France,2017,lille,toulouse,TRUE
France,2017,angers sco,lille,TRUE
France,2017,amiens sc,lille,TRUE
France,2017,r. strasbourg,sm caen,TRUE
France,2017,r. strasbourg,toulouse,TRUE
France,2017,angers sco,r. strasbourg,TRUE
Spain,2017,athletic club,cd leganés,TRUE
Spain,2017,athletic club,celta de vigo,TRUE
Spain,2017,athletic club,real sociedad,TRUE
Spain,2017,athletic club,dep. la coruña,TRUE
Spain,2017,celta de vigo,real sociedad,TRUE
Spain,2017,cd leganés,celta de vigo,TRUE
Spain,2017,celta de vigo,real betis,TRUE
France,2017,sm caen,toulouse,TRUE
Spain,2017,cd leganés,real sociedad,TRUE
Spain,2017,cd leganés,dep. la coruña,TRUE
Spain,2017,real betis,real sociedad,TRUE
England,2017,bournemouth,crystal palace,TRUE
England,2017,bournemouth,newcastle,TRUE
England,2017,bournemouth,leicester,TRUE
England,2017,bournemouth,west ham,TRUE
England,2017,bournemouth,watford,TRUE
England,2017,crystal palace,newcastle,TRUE
England,2017,crystal palace,leicester,TRUE
England,2017,crystal palace,west ham,TRUE
England,2017,crystal palace,watford,TRUE
Italy,2017,bologna,cagliari,TRUE
Italy,2017,bologna,chievo verona,TRUE
Italy,2017,bologna,udinese,TRUE
Italy,2017,bologna,crotone,TRUE
Italy,2017,bologna,spal,TRUE
Italy,2017,cagliari,chievo verona,TRUE
Italy,2017,cagliari,udinese,TRUE
Italy,2017,cagliari,spal,TRUE
Italy,2017,cagliari,crotone,TRUE
Italy,2017,inter,lazio,TRUE
Italy,2017,atalanta,inter,TRUE
Italy,2017,fiorentina,inter,TRUE
Italy,2017,inter,roma,TRUE
Italy,2017,atalanta,lazio,TRUE
Italy,2017,lazio,roma,TRUE
Italy,2017,fiorentina,lazio,TRUE
Germany,2023,heidenheim,werder bremen,TRUE
Germany,2023,heidenheim,hoffenheim,TRUE
Germany,2023,augsburg,heidenheim,TRUE
Germany,2023,heidenheim,mönchengladbach,TRUE
Germany,2023,heidenheim,vfl bochum,TRUE
