team_name,league,country,season,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,country_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played,team_url,season_start
Manchester City,Premier League,England,2018,Arrivals,Riyad Mahrez,https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424,Right Winger,27,Algeria,Leicester,Premier League,England,67800000,FALSE,"",Summer,60,44,12,2551,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Arrivals,Philippe Sandler,https://www.transfermarkt.com/philippe-sandler/profil/spieler/340460,Centre-Back,21,Netherlands,PEC Zwolle,Eredivisie,Netherlands,2500000,FALSE,"",Summer,4,2,0,113,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Arrivals,Daniel Arzani,https://www.transfermarkt.com/daniel-arzani/profil/spieler/399997,Right Winger,19,Australia,Melbourne City,A-League Men,Australia,890000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Arrivals,Manu García,https://www.transfermarkt.com/manu-garcia/profil/spieler/277118,Attacking Midfield,20,Spain,Man City U21,Premier League 2,England,,FALSE,-,Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Arrivals,Arijanet Murić,https://www.transfermarkt.com/arijanet-muric/profil/spieler/371021,Goalkeeper,19,Kosovo,Man City U21,Premier League 2,England,,FALSE,-,Summer,58,5,0,450,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Arrivals,Pablo Maffeo,https://www.transfermarkt.com/pablo-maffeo/profil/spieler/251876,Right-Back,20,Argentina,Girona,LaLiga,Spain,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Arrivals,Olarenwaju Kayode,https://www.transfermarkt.com/olarenwaju-kayode/profil/spieler/131694,Centre-Forward,25,Nigeria,Shakhtar D.,Premier Liga,Ukraine,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Arrivals,Jason Denayer,https://www.transfermarkt.com/jason-denayer/profil/spieler/277114,Centre-Back,23,Belgium,Galatasaray,Süper Lig,Türkiye,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Arrivals,Luka Ilic,https://www.transfermarkt.com/luka-ilic/profil/spieler/429790,Attacking Midfield,18,Serbia,Red Star,Super liga Srbije,Serbia,,TRUE,End of loan 30/06/2018,Summer,0,0,0,0,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Arrivals,Pablo Marí,https://www.transfermarkt.com/pablo-mari/profil/spieler/210178,Centre-Back,24,Spain,NAC Breda,Eredivisie,Netherlands,,TRUE,End of loan 30/06/2018,Summer,0,0,0,0,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
